epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.8678,14.9021,0.4257,1,659.5,0.2,0.2,0.2
2,43.0041,16.9502,0.4257,1,nan,0.199988,0.199988,0.199988
3,58.8899,28.5747,0.4257,1,nan,0.199951,0.199951,0.199951
4,70.8017,14.055,0.4257,1,nan,0.19989,0.19989,0.19989
5,84.9494,5.53704,0.43775,1,nan,0.199805,0.199805,0.199805
6,97.1036,4.64654,0.45382,1,nan,0.199695,0.199695,0.199695
7,108.242,nan,0.4257,1,nan,0.199561,0.199561,0.199561
8,119.957,nan,0.4257,1,nan,0.199402,0.199402,0.199402
9,131.764,nan,0.4257,1,nan,0.199219,0.199219,0.199219
10,143.802,nan,0.4257,1,nan,0.199012,0.199012,0.199012
11,155.652,nan,0.4257,1,nan,0.198781,0.198781,0.198781
12,167.002,nan,0.4257,1,nan,0.198526,0.198526,0.198526
13,177.204,nan,0.4257,1,nan,0.198246,0.198246,0.198246
14,189.447,nan,0.4257,1,nan,0.197943,0.197943,0.197943
15,202.711,nan,0.4257,1,nan,0.197616,0.197616,0.197616
16,214.932,nan,0.4257,1,nan,0.197265,0.197265,0.197265
17,226.772,nan,0.4257,1,nan,0.19689,0.19689,0.19689
18,237.614,nan,0.4257,1,nan,0.196491,0.196491,0.196491
19,249.972,nan,0.4257,1,nan,0.196069,0.196069,0.196069
20,261.783,nan,0.4257,1,nan,0.195624,0.195624,0.195624
21,273.4,nan,0.4257,1,nan,0.195155,0.195155,0.195155
22,284.158,nan,0.4257,1,nan,0.194662,0.194662,0.194662
23,296.376,nan,0.4257,1,nan,0.194147,0.194147,0.194147
24,308.207,nan,0.4257,1,nan,0.193609,0.193609,0.193609
25,319.868,nan,0.4257,1,nan,0.193048,0.193048,0.193048
26,330.567,nan,0.4257,1,nan,0.192464,0.192464,0.192464
27,341.302,nan,0.4257,1,nan,0.191858,0.191858,0.191858
28,353.791,nan,0.4257,1,nan,0.191229,0.191229,0.191229
29,365.125,nan,0.4257,1,nan,0.190578,0.190578,0.190578
30,376.734,nan,0.4257,1,nan,0.189905,0.189905,0.189905
31,388.393,nan,0.4257,1,nan,0.18921,0.18921,0.18921
32,400.085,nan,0.4257,1,nan,0.188493,0.188493,0.188493
33,412.007,nan,0.4257,1,nan,0.187754,0.187754,0.187754
34,422.406,nan,0.4257,1,nan,0.186995,0.186995,0.186995
35,434.172,nan,0.4257,1,nan,0.186213,0.186213,0.186213
36,445.355,nan,0.4257,1,nan,0.185411,0.185411,0.185411
37,455.989,nan,0.4257,1,nan,0.184588,0.184588,0.184588
38,467.034,nan,0.4257,1,nan,0.183745,0.183745,0.183745
39,479.114,nan,0.4257,1,nan,0.182881,0.182881,0.182881
40,490.598,nan,0.4257,1,nan,0.181997,0.181997,0.181997
41,502.32,nan,0.4257,1,nan,0.181093,0.181093,0.181093
42,513.847,nan,0.4257,1,nan,0.180169,0.180169,0.180169
43,524.651,nan,0.4257,1,nan,0.179225,0.179225,0.179225
44,535.676,nan,0.4257,1,nan,0.178263,0.178263,0.178263
45,547.538,nan,0.4257,1,nan,0.177281,0.177281,0.177281
46,557.773,nan,0.4257,1,nan,0.17628,0.17628,0.17628
47,569.553,nan,0.4257,1,nan,0.175261,0.175261,0.175261
48,581.496,nan,0.4257,1,nan,0.174223,0.174223,0.174223
49,593.502,nan,0.4257,1,nan,0.173168,0.173168,0.173168
50,604.051,nan,0.4257,1,nan,0.172095,0.172095,0.172095
51,615.437,nan,0.4257,1,nan,0.171004,0.171004,0.171004
52,626.821,nan,0.4257,1,nan,0.169895,0.169895,0.169895
53,638.777,nan,0.4257,1,nan,0.16877,0.16877,0.16877
54,650.027,nan,0.4257,1,nan,0.167628,0.167628,0.167628
55,661.663,nan,0.4257,1,nan,0.16647,0.16647,0.16647
56,674.277,nan,0.4257,1,nan,0.165295,0.165295,0.165295
57,684.118,nan,0.4257,1,nan,0.164105,0.164105,0.164105
58,696.275,nan,0.4257,1,nan,0.162899,0.162899,0.162899
59,708.701,nan,0.4257,1,nan,0.161678,0.161678,0.161678
